"DIVIPOLA","City_Municipality","ID_Deparment","Department","Sex","Range","People"
"20001","Valledupar","20","Cesar","M","81-90","2"
"20001","Valledupar","20","Cesar","M","41-50","1"
"20001","Valledupar","20","Cesar","M","91-99","3"
"20001","Valledupar","20","Cesar","M","21-30","1"
"20011","Aguachica","20","Cesar","F","71-80","1"
"20011","Aguachica","20","Cesar","M","71-80","1"
"20013","Agustin Codazzi","20","Cesar","M","0-1","1"
"20178","Chiriguana","20","Cesar","F","81-90","1"
"20238","El Copey","20","Cesar","F","81-90","1"
"20383","La Gloria","20","Cesar","M","41-50","1"
"20614","Rio de Oro","20","Cesar","F","81-90","1"
"20614","Rio de Oro","20","Cesar","M","71-80","1"
"20770","San Martin","20","Cesar","F","31-40","1"
"20770","San Martin","20","Cesar","M","71-80","1"
"23001","Monteria","23","Cordoba","F","51-60","8"
"23001","Monteria","23","Cordoba","F","71-80","9"
"23001","Monteria","23","Cordoba","F","61-70","7"
"23001","Monteria","23","Cordoba","F","81-90","11"
"23001","Monteria","23","Cordoba","F","41-50","5"
"23001","Monteria","23","Cordoba","F","91-99","1"
"23001","Monteria","23","Cordoba","F","31-40","2"
"23001","Monteria","23","Cordoba","M","51-60","12"
"23001","Monteria","23","Cordoba","M","71-80","12"
"23001","Monteria","23","Cordoba","M","61-70","19"
"23001","Monteria","23","Cordoba","M","81-90","16"
"23001","Monteria","23","Cordoba","M","41-50","5"
"23001","Monteria","23","Cordoba","M","91-99","2"
"23001","Monteria","23","Cordoba","M","31-40","4"
"23189","Cienaga de Oro","23","Cordoba","F","71-80","1"
"23417","Lorica","23","Cordoba","F","71-80","2"
"23417","Lorica","23","Cordoba","F","61-70","2"
"23417","Lorica","23","Cordoba","F","81-90","5"
"23417","Lorica","23","Cordoba","F","41-50","2"
"23417","Lorica","23","Cordoba","F","91-99","1"
"23417","Lorica","23","Cordoba","F","21-30","1"
"23417","Lorica","23","Cordoba","F","31-40","1"
"23417","Lorica","23","Cordoba","M","51-60","7"
"23417","Lorica","23","Cordoba","M","71-80","6"
"23417","Lorica","23","Cordoba","M","61-70","6"
"23417","Lorica","23","Cordoba","M","81-90","4"
"23417","Lorica","23","Cordoba","M","41-50","5"
"23466","Montelibano","23","Cordoba","F","81-90","1"
"23466","Montelibano","23","Cordoba","F","41-50","1"
"23660","Sahagun","23","Cordoba","F","41-50","1"
"23660","Sahagun","23","Cordoba","F","91-99","1"
"23660","Sahagun","23","Cordoba","F","31-40","1"
"23660","Sahagun","23","Cordoba","M","61-70","2"
"23660","Sahagun","23","Cordoba","M","81-90","1"
"23660","Sahagun","23","Cordoba","M","31-40","2"
"23675","San Bernardo del Viento","23","Cordoba","M","61-70","1"
"23807","Tierralta","23","Cordoba","F","51-60","1"
"23807","Tierralta","23","Cordoba","F","71-80","2"
"23807","Tierralta","23","Cordoba","M","51-60","1"
"23815","Tuchin","23","Cordoba","F","41-50","1"
"23815","Tuchin","23","Cordoba","F","21-30","1"
"23815","Tuchin","23","Cordoba","M","51-60","1"
