"City_Municipality","Department","Latitude","longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Hospitalization_Rate","Mortality_Rate","Last_Update"
"POPAYAN","CAUCA","2.48250339062","-76.5740646841","11","12","1","0","9","1","0","1","8.3333333333333","8.3333333333333","2020-04-09 16:01:00"
"PUERTO COLOMBIA","ATLÁNTICO","11.0229400539","-74.851963565","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"PUERTO SANTANDER","NORTE DE SANTANDER","3.37059851251","-73.5146846138","2","2","0","0","2","0","0","","","","2020-04-09 16:01:00"
"PUERTO TEJADA","CAUCA","0.988590121237","-75.0660995429","1","1","0","0","0","1","0","1","100","","2020-04-09 16:01:00"
"RIOHACHA","LA GUAJIRA","11.5287513839","-72.911488911","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"RIONEGRO","ANTIOQUIA","6.14722409002","-75.3767693823","10","10","0","0","5","1","0","1","10","","2020-04-09 16:01:00"
"SABANETA","ANTIOQUIA","6.15097018093","-75.6155852932","9","9","0","0","9","0","0","","","","2020-04-09 16:01:00"
"SAHAGUN","CÓRDOBA","8.94312541611","-75.4459203022","1","1","0","0","0","0","0","","","","2020-04-09 16:01:00"
"SAN ANDRES","SAN ANDRÉS","6.39872921828","-75.440016949","3","3","0","0","2","0","0","","","","2020-04-09 16:01:00"
"SAN FRANCISCO","ANTIOQUIA","5.96407913115","-75.1026869656","1","1","0","0","0","0","1","1","100","","2020-04-09 16:01:00"
"SAN JUAN DE RIO SECO","CUNDINAMARCA","4.848611","-74.620556","2","2","0","0","2","0","0","","","","2020-04-09 16:01:00"
"SAN PEDRO","VALLE DEL CAUCA","5.25045488109","-75.7942693728","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"SANTA MARTA","SANTA MARTA D.T. Y C.","8.11321398354","-75.9133161358","27","30","3","0","17","8","2","10","33.333333333333","10","2020-04-09 16:01:00"
"SANTA ROSA","ANTIOQUIA","9.06946150984","-74.6714498299","2","2","0","0","2","0","0","","","","2020-04-09 16:01:00"
"SANTA ROSA DE CABAL","RISARALDA","4.86752645418","-75.6200106565","1","1","0","0","1","0","0","","","","2020-04-09 16:01:00"
"SANTANA","BOYACÁ","5.77866547593","-72.945544503","4","4","0","0","3","0","0","","","","2020-04-09 16:01:00"
