"DIVIPOLA","City_Municipality","ID_Deparment","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Beds","Total_Hospital_Beds_Utilisation","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Lethality_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Cases_Share_Of_Population","Deaths_Share_Of_Population","Last_Update"
"52573","Puerres","52","Narino","0.885125175","-77.50421065","1","2","0","1","1","0","0","0","0","","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","4183","","2020-06-25 16:44:00"
"52585","Pupiales","52","Narino","0.867139628","-77.63350443","10","12","0","2","9","1","0","1","1","1.000","0.083","0.750","0.083","0.000","0.000","0.0000000","0.167","0.833","1435","","2020-06-25 16:44:00"
"52612","Ricaurte","52","Narino","1.212931458","-77.99544487","1","10","0","9","1","0","0","0","4","0.000","0.000","0.100","0.000","0.000","0.000","0.0000000","0.900","0.100","2006","","2020-06-25 16:44:00"
"52621","Roberto Payan","52","Narino","1.697744768","-78.24566252","20","20","0","0","15","5","0","5","0","","0.250","0.750","0.250","0.000","0.000","0.0000000","0.000","1.000","635","","2020-06-25 16:44:00"
"52678","Samaniego","52","Narino","1.335351879","-77.59445713","1","2","1","0","0","1","0","1","15","0.067","0.500","0.000","0.500","0.000","0.500","3.6046428","0.000","0.500","13871","27742","2020-06-25 16:44:00"
"52683","Sandona","52","Narino","1.28613693","-77.46956757","6","6","0","0","6","0","0","0","9","0.000","0.000","1.000","0.000","0.000","0.000","0.0000000","0.000","1.000","3295","","2020-06-25 16:44:00"
"52685","San Bernardo","52","Narino","1.514253666","-77.04740277","31","34","1","2","28","2","1","3","0","","0.088","0.824","0.059","0.029","0.029","10.9039363","0.059","0.912","270","9171","2020-06-25 16:44:00"
"52687","San Lorenzo","52","Narino","1.503340987","-77.21523165","0","1","0","1","0","0","0","0","1","0.000","0.000","0.000","0.000","0.000","0.000","0.0000000","1.000","0.000","18399","","2020-06-25 16:44:00"
"52693","San Pablo","52","Narino","1.669426894","-77.01392439","36","46","0","10","34","2","0","2","7","0.286","0.043","0.739","0.043","0.000","0.000","0.0000000","0.217","0.783","322","","2020-06-25 16:44:00"
"52696","Santa Barbara","52","Narino","2.449548194","-77.97908278","54","55","1","0","48","5","1","6","1","6.000","0.109","0.873","0.091","0.018","0.018","7.5517293","0.000","0.982","241","13242","2020-06-25 16:44:00"
"52786","Taminango","52","Narino","1.570047767","-77.2802216","9","10","0","1","9","0","0","0","1","0.000","0.000","0.900","0.000","0.000","0.000","0.0000000","0.100","0.900","1788","","2020-06-25 16:44:00"
"52835","San Andres de Tumaco","52","Narino","1.80711725","-78.76385415","470","1420","53","897","375","86","8","94","123","0.764","0.066","0.264","0.061","0.006","0.037","20.6183963","0.632","0.331","181","4850","2020-06-25 16:44:00"
"52838","Tuquerres","52","Narino","1.085193359","-77.61688638","8","16","2","6","5","3","0","3","25","0.120","0.188","0.313","0.188","0.000","0.125","4.4868200","0.375","0.500","2786","22288","2020-06-25 16:44:00"
"52885","Yacuanquer","52","Narino","1.114556241","-77.40282382","2","4","0","2","2","0","0","0","4","0.000","0.000","0.500","0.000","0.000","0.000","0.0000000","0.500","0.500","2739","","2020-06-25 16:44:00"
"54001","Cucuta","54","Norte de Santander","7.905306295","-72.5082562","71","178","12","95","64","6","0","6","752","0.008","0.034","0.360","0.034","0.000","0.067","1.5441909","0.534","0.399","4366","64759","2020-06-25 16:44:00"
