"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospital_Capacity","Hospital_Capacity_Rate","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Palermo","Huila","5.73280146532","-75.6953709211","0","3","0","3","0","0","0","","8","","","","","","","100","","2020-04-28 17:13:00"
"Palmira","Valle del Cauca","8.54978573123","-75.4510664684","27","47","4","16","26","0","1","1","448","0.22321428571429","2.1276595744681","55.31914893617","","2.1276595744681","8.5106382978723","34.042553191489","57.446808510638","2020-04-28 17:13:00"
"Pasto","Nariño","1.21212436525","-77.2785763476","15","22","2","5","14","1","0","1","1789","0.055897149245388","4.5454545454545","63.636363636364","4.5454545454545","","9.0909090909091","22.727272727273","68.181818181818","2020-04-28 17:13:00"
"Pereira","Risaralda","8.51722410471","-76.0759945061","101","132","5","26","98","1","2","3","1496","0.20053475935829","2.2727272727273","74.242424242424","0.75757575757576","1.5151515151515","3.7878787878788","19.69696969697","76.515151515152","2020-04-28 17:13:00"
"Piedecuesta","Santander","6.04999176281","-75.693460235","2","2","0","0","2","0","0","","368","","","100","","","","","100","2020-04-28 17:13:00"
"Pitalito","Huila","10.813131477","-74.8414613702","3","3","0","0","3","0","0","","162","","","100","","","","","100","2020-04-28 17:13:00"
"Polonuevo","Atlántico","10.7777245089","-74.8542572499","0","1","0","1","0","0","0","","6","","","","","","","100","","2020-04-28 17:13:00"
"Ponedera","Atlántico","10.6417959278","-74.7539004396","0","1","0","1","0","0","0","","23","","","","","","","100","","2020-04-28 17:13:00"
"Popayán","Cauca","2.48250339062","-76.5740646841","8","19","1","10","7","1","0","1","1306","0.076569678407351","5.2631578947368","36.842105263158","5.2631578947368","","5.2631578947368","52.631578947368","42.105263157895","2020-04-28 17:13:00"
"Potosí","Nariño","0.806340416777","-77.5727917754","1","1","0","0","0","1","0","1","0","","100","","100","","","","100","2020-04-28 17:13:00"
"Puebloviejo","Magdalena","10.9948296498","-74.2824842344","1","1","0","0","0","0","1","1","11","9.0909090909091","100","","","100","","","100","2020-04-28 17:13:00"
"Puerto Colombia","Atlántico","11.0229400539","-74.851963565","3","4","0","1","3","0","0","","688","","","75","","","","25","75","2020-04-28 17:13:00"
"Puerto Santander","Norte de Santander","3.37059851251","-73.5146846138","1","1","0","0","1","0","0","","0","","","100","","","","","100","2020-04-28 17:13:00"
"Puerto Tejada","Cauca","0.988590121237","-75.0660995429","3","3","0","0","2","1","0","1","19","5.2631578947368","33.333333333333","66.666666666667","33.333333333333","","","","100","2020-04-28 17:13:00"
"Quibdo","Chocó","5.69219518726","-76.6259693555","10","12","1","1","9","1","0","1","336","0.29761904761905","8.3333333333333","75","8.3333333333333","","8.3333333333333","8.3333333333333","83.333333333333","2020-04-28 17:13:00"
"Quimbaya","Quindio","4.62438608575","-75.7650742001","0","1","1","0","0","0","0","","15","","","","","","100","","","2020-04-28 17:13:00"
