"City_Municipality","Department","Latitude","Longitude","Active","Confirmed","Deaths","Recovered","House","Hospital","ICU","People_Hospitalized","Total_Hospitalization_Rate","Mild_Rate","Severe_Rate","Critical_Rate","Mortality_Rate","Recovery_Rates","Active_Rate","Last_Update"
"Retiro","Antioquia","6.06337995392","-75.5013751615","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Riohacha","La Guajira","11.5287513839","-72.911488911","0","2","1","1","0","0","0","","","","","","50","50","","2020-04-24 10:18:00"
"Rionegro","Antioquia","6.14722409002","-75.3767693823","2","10","0","8","2","0","0","","","20","","","","80","20","2020-04-24 10:18:00"
"Sabanagrande","Atlántico","10.7910759492","-74.758507205","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Sabaneta","Antioquia","6.15097018093","-75.6155852932","2","9","0","7","2","0","0","","","22.222222222222","","","","77.777777777778","22.222222222222","2020-04-24 10:18:00"
"Sahagún","Córdoba","8.94312541611","-75.4459203022","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"San Agustín","Huila","8.167921639","-74.661049672","2","2","0","0","1","1","0","1","50","50","50","","","","100","2020-04-24 10:18:00"
"San Andrés","Archipiélago de San Andrés Providencia y Santa Catalina","6.39872921828","-75.440016949","4","6","0","2","4","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-24 10:18:00"
"San Andrés de Tumaco","Nariño","1.80711725006","-78.7638541478","9","11","1","1","8","1","0","1","9.0909090909091","72.727272727273","9.0909090909091","","9.0909090909091","9.0909090909091","81.818181818182","2020-04-24 10:18:00"
"San Cristóbal","Bolívar","10.3928557722","-75.0655341715","2","2","0","0","1","0","1","1","50","50","","50","","","100","2020-04-24 10:18:00"
"San Diego","Cesar","5.66527168584","-74.9332394378","2","2","0","0","1","1","0","1","50","50","50","","","","100","2020-04-24 10:18:00"
"San Francisco","Antioquia","5.96407913115","-75.1026869656","1","1","0","0","0","0","1","1","100","","","100","","","100","2020-04-24 10:18:00"
"San Juan de Rioseco","Cundinamarca","4.84757599913","-74.6219147166","1","2","0","1","1","0","0","","","50","","","","50","50","2020-04-24 10:18:00"
"San Martín","Cesar","6.53433012953","-76.8447910108","2","2","0","0","0","1","1","2","100","","50","50","","","100","2020-04-24 10:18:00"
"San Pedro","Valle del Cauca","5.25045488109","-75.7942693728","2","3","0","1","2","0","0","","","66.666666666667","","","","33.333333333333","66.666666666667","2020-04-24 10:18:00"
"San Pedro de Urabá","Antioquia","8.27688666409","-76.380577886","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Santa Fé de Antioquia","Antioquia","6.55653329637","-75.827079071","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Santa Marta","Santa Marta D.T. y C.","11.2294335041","-74.1908941206","98","121","11","12","81","15","2","17","14.04958677686","66.942148760331","12.396694214876","1.6528925619835","9.0909090909091","9.9173553719008","80.99173553719","2020-04-24 10:18:00"
"Santa Rosa","Bolívar","9.06946150984","-74.6714498299","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Santa Rosa de Cabal","Risaralda","4.86752645418","-75.6200106565","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Santa Rosa de Osos","Antioquia","6.64332600099","-75.4607450191","0","2","0","2","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Santa Sofía","Boyacá","5.71326942075","-73.6027071719","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Santana","Boyacá","5.77866547593","-72.945544503","2","4","0","2","2","0","0","","","50","","","","50","50","2020-04-24 10:18:00"
"Santander de Quilichao","Cauca","3.01605390077","-76.4853702902","0","1","1","0","0","0","0","","","","","","100","","","2020-04-24 10:18:00"
"Santo Tomás","Atlántico","10.756056293","-74.7541118585","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Sibaté","Cundinamarca","4.48976359282","-74.2589922464","3","3","0","0","2","0","1","1","33.333333333333","66.666666666667","","33.333333333333","","","100","2020-04-24 10:18:00"
"Sincelejo","Sucre","9.30233310439","-75.3954835627","0","1","0","1","0","0","0","","","","","","","100","","2020-04-24 10:18:00"
"Soacha","Cundinamarca","4.58549165821","-74.2145275305","33","45","2","10","28","5","0","5","11.111111111111","62.222222222222","11.111111111111","","4.4444444444444","22.222222222222","73.333333333333","2020-04-24 10:18:00"
"Socha","Boyacá","5.99671302142","-72.6919658568","3","3","0","0","3","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Sogamoso","Boyacá","5.72568939005","-72.9230476859","1","1","0","0","1","0","0","","","100","","","","","100","2020-04-24 10:18:00"
"Soledad","Atlántico","10.9101744673","-74.784833384","18","25","2","5","18","0","0","","","72","","","8","20","72","2020-04-24 10:18:00"
"Sonsón","Antioquia","5.71481164114","-75.3093951469","2","2","0","0","1","1","0","1","50","50","50","","","","100","2020-04-24 10:18:00"
"Sopó","Cundinamarca","4.90633080922","-73.9457748929","1","3","0","2","1","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-24 10:18:00"
"Subachoque","Cundinamarca","4.92907928898","-74.1727084609","1","3","0","2","1","0","0","","","33.333333333333","","","","66.666666666667","33.333333333333","2020-04-24 10:18:00"
"Suesca","Cundinamarca","5.10351683913","-73.7982897825","3","4","1","0","1","2","0","2","50","25","50","","25","","75","2020-04-24 10:18:00"
"Tenjo","Cundinamarca","4.87196053725","-74.1439562115","4","6","2","0","3","1","0","1","16.666666666667","50","16.666666666667","","33.333333333333","","66.666666666667","2020-04-24 10:18:00"
